tahun,kabupaten_kota,kode_wilayah,luas_panen,produksi_gabah,produksi_beras,produktivitas,keterangan
2025,Pacitan,3501,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Ponorogo,3502,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Trenggalek,3503,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Tulungagung,3504,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Blitar,3505,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Kediri,3506,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Malang,3507,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Lumajang,3508,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Jember,3509,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Banyuwangi,3510,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Bondowoso,3511,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Situbondo,3512,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Probolinggo,3513,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Pasuruan,3514,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Sidoarjo,3515,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Mojokerto,3516,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Jombang,3517,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Nganjuk,3518,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Madiun,3519,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Magetan,3520,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Ngawi,3521,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Bojonegoro,3522,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Tuban,3523,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Lamongan,3524,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Gresik,3525,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Bangkalan,3526,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Sampang,3527,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Pamekasan,3528,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Sumenep,3529,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Kediri",3571,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Blitar",3572,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Malang",3573,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Probolinggo",3574,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Pasuruan",3575,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Mojokerto",3576,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Madiun",3577,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Surabaya",3578,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Batu",3579,0,0,,,"Prefilled template - isi angka dari pada-2025.pdf"
