tahun,kabupaten_kota,kode_wilayah,luas_panen,produksi_gabah,produksi_beras,produktivitas,keterangan
2025,Pacitan,3501,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Ponorogo,3502,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Trenggalek,3503,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Tulungagung,3504,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Blitar,3505,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Kediri,3506,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Malang,3507,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Lumajang,3508,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Jember,3509,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Banyuwangi,3510,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Bondowoso,3511,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Situbondo,3512,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Probolinggo,3513,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Pasuruan,3514,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Sidoarjo,3515,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Mojokerto,3516,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Jombang,3517,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Nganjuk,3518,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Madiun,3519,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Magetan,3520,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Ngawi,3521,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Bojonegoro,3522,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Tuban,3523,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Lamongan,3524,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Gresik,3525,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Bangkalan,3526,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Sampang,3527,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Pamekasan,3528,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,Sumenep,3529,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Kediri",3571,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Blitar",3572,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Malang",3573,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Probolinggo",3574,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Pasuruan",3575,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Mojokerto",3576,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Madiun",3577,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Surabaya",3578,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
2025,"Kota Batu",3579,,,,,"Prefilled template - isi angka dari pada-2025.pdf"
