Tahun,Kabupaten/Kota,"Kode Wilayah","Luas Panen (Ha)","Produksi Gabah (Ton)","Produksi Beras (Ton)","Produktivitas (Ku/Ha)","Sumber Data","Tipe Sumber",Skenario,Validated,"Validation Notes",Keterangan,"Dibuat Pada","Diupdate Pada"
2025,Bangkalan,3526,"24,448.00","136,910.00","78,997.00",56.28,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 0.3%, Random: -2.5%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Banyuwangi,3510,"85,162.00","510,970.00","294,830.00",58.98,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 1.1%, Random: -0.9%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Blitar,3505,"42,029.00","248,172.00","143,195.00",59.53,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 1.8%, Random: -1.7%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Bojonegoro,3522,"94,905.00","559,439.00","322,796.00",57.88,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 0.1%, Random: -0.2%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Bondowoso,3511,"37,809.00","218,897.00","126,304.00",58.93,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 0.2%, Random: -0.7%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Gresik,3525,"36,057.00","200,891.00","115,914.00",55.72,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 1.1%, Random: 1.9%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Jember,3509,"117,010.00","702,060.00","405,089.00",60.90,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: -2.1%, Random: -0.4%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Jombang,3517,"47,957.00","289,739.00","167,179.00",60.36,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 3.0%, Random: -3.0%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,Kediri,3506,"54,419.00","324,424.00","187,193.00",60.78,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 2.4%, Random: 2.2%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,"Kota Batu",3579,"1,494.00","8,465.00","4,884.00",56.09,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: -1.2%, Random: 0.8%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,"Kota Blitar",3572,"1,984.00","10,910.00","6,295.00",55.00,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: -1.8%, Random: 1.0%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,"Kota Kediri",3571,"1,796.00","9,979.00","5,758.00",56.28,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: -1.0%, Random: 0.8%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,"Kota Madiun",3577,"1,178.00","6,676.00","3,852.00",57.46,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 0.9%, Random: -2.7%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,"Kota Malang",3573,"1,010.00","5,554.00","3,205.00",54.34,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: -0.6%, Random: 1.6%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,"Kota Mojokerto",3576,834.00,"4,587.00","2,647.00",55.22,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: 1.7%, Random: 2.5%","2026-08-07 17:21:19","2026-08-08 13:19:26"
2025,"Kota Pasuruan",3575,585.00,"3,218.00","1,857.00",55.06,"Simulasi (Berdasarkan Data BPS Jawa Timur)",simulasi,baseline,Valid,-,"Simulasi Baseline berdasarkan publikasi BPS Jawa Timur 2024. Variasi tahun: -2.4%, Random: -0.1%","2026-08-07 17:21:19","2026-08-08 13:19:26"
